Periodo;# Clicks;# Registros IN;# Primer depósito IN;Total depositado IN;# Personas que apostaron IN;Total apostado;Net revenue IN
2023-05-23;7;0;1;7565,76293;156;42105,62618;-1828,521996
2023-05-24;8;0;0;7912,416708;177;45594,93332;583,6880563
2023-05-24;;0;0;0;1;15,1179195;15,1179195
2023-05-25;3;0;0;7604,401606;187;190944,5337;6582,649449
2023-05-25;4;;;;;;
2023-05-26;3;0;0;5975,869079;134;19683,11638;3371,551299
2023-05-27;7;0;0;4946,697276;174;17303,3058;2491,913642
2023-05-27;;0;0;34,958469;1;47,89310253;34,96274392
2023-05-28;5;0;0;2032,841268;174;15481,4342;-946,8922677
2023-05-28;1;;;;;;
2023-05-29;1;0;0;1765,966628;127;11025,11067;-413,7485561
2023-05-29;1;;;;;;
2023-05-30;6;0;0;1862,967223;114;12052,34786;607,7441419
2023-05-30;7;0;0;;;;
2023-05-31;3;0;3;3324,817017;141;17201,84536;-144,2313422
2023-06-01;10;0;3;8749,987348;194;31499,38009;2757,900535
2023-06-02;4;0;1;3837,047817;179;23324,26764;5549,060143
2023-06-03;5;0;1;3596,456208;186;18959,52475;1371,278454
2023-06-04;8;0;1;2348,982216;158;17172,2434;-41,45430073
2023-06-05;2;0;1;1549,348614;158;12069,39021;1298,217549
2023-06-05;1;0;0;;;;
2023-06-06;2;0;1;2657,467357;183;16262,16524;513,9122375
2023-06-07;5;0;5;2469,619931;193;12652,2193;-1560,341439
2023-06-08;6;0;0;3657,283567;194;16884,27515;537,7307235
2023-06-08;3;0;0;;;;
2023-06-09;5;0;1;2774,823875;152;14492,24573;314,946092
2023-06-10;8;0;0;6307,727319;218;23550,23487;-385,1119045
2023-06-11;5;0;0;2223,598012;163;9824,410655;-190,5259012
2023-06-12;2;0;0;4190,530043;122;31680,94594;1866,706923
2023-06-13;1;0;0;4813,474854;115;35293,84644;2675,577904
2023-06-13;1;0;0;;;;
2023-06-14;4;0;0;3233,006529;121;20631,22092;945,0805358
2023-06-14;1;0;0;;;;
2023-06-15;5;0;0;1981,752537;129;7510,764798;-128,3624155
2023-06-16;8;0;0;3330,180167;137;31628,93943;1616,770984
2023-06-16;1;0;0;;;;
2023-06-17;7;0;0;3056,133942;150;22266,9037;-1951,852737
2023-06-18;6;0;0;3599,756051;128;22458,31081;-692,566722
2023-06-19;2;2;0;3586,241516;148;21298,54597;96,57668325
2023-06-20;10;0;1;3765,429392;137;24579,41682;1543,341436
2023-06-21;4;0;0;3579,659847;140;18284,72586;-201,6547002
2023-06-21;1;0;0;;;;
2023-06-22;5;0;0;4511,70011;179;19016,5866;3548,310079
2023-06-22;1;0;0;;;;
2023-06-23;4;5;2;2506,917747;143;20725,08781;-2154,04515
2023-06-24;2;27;11;10632,42359;151;76584,1462;4755,082419
2023-06-25;1;30;20;2288,075547;191;10542,65419;-696,6459985
2023-06-26;;24;7;1843,592557;136;8302,085804;948,5264162
2023-06-26;3;0;0;;;;
2023-06-27;;50;21;3333,375865;186;12299,2163;1045,305354
2023-06-28;;15;7;2851,069178;187;11774,87442;1554,891185
2023-06-28;1;0;0;;;;
2023-06-29;;52;26;2895,672071;212;15950,46835;421,2707469
2023-06-30;;34;16;2555,895791;217;16764,97814;947,9424058
2023-07-01;;4;4;3734,223415;226;16391,6176;1278,135461
2023-07-02;;2;5;5117,058998;243;38679,99744;1634,323393
2023-07-03;;3;4;3414,604587;198;21259,62452;-718,7134269
2023-07-04;5;3;2;5216,494012;185;46297,65289;-689,456189
2023-07-05;5;16;6;4115,65083;203;20685,74814;211,4197743
2023-07-06;2;72;21;6529,277221;265;26540,16209;2603,941826
2023-07-07;3;44;20;11632,70372;182;60899,25783;4110,829734
2023-07-08;1;21;16;8543,757322;267;80203,08794;1116,708577
2023-07-09;;176;75;7925,305928;348;39045,92441;2588,747213
2023-07-10;5;89;38;6161,280911;210;35280,8573;2881,303648
2023-07-11;;138;75;4412,926545;279;16392,19647;982,4409306
2023-07-12;;325;159;4964,638492;353;21239,63272;-2613,330272
2023-07-12;1;0;0;;;;
2023-07-13;7;470;180;6248,449196;588;36239,58423;2126,513747
2023-07-14;;381;161;8041,926629;602;39272,69916;271,9858986
2023-07-14;2;0;0;;;;
2023-07-15;;333;183;9313,673633;681;39869,71945;4470,036437
2023-07-15;;0;0;62,44458;1;22,4800488;-61,95751228
2023-07-16;;475;241;8883,14622;950;34096,8827;1690,603596
2023-07-17;;199;99;5324,433547;536;23153,27161;-16,64169186
2023-07-17;1;0;0;;;;
2023-07-17;;0;0;0;1;33,80951826;12,33776106
2023-07-18;;356;171;5600,499845;779;29608,9433;2075,529544
2023-07-18;;0;0;0;1;18,6076512;5,942043283
2023-07-19;;568;244;8006,590309;935;44333,87476;-383,0834834
2023-07-19;;0;0;0;1;21,24557388;1,56217455
2023-07-20;;415;209;7115,288627;923;40273,68367;670,7742801
2023-07-20;;0;0;0;1;37,5777396;-0,145759877
2023-07-21;;327;182;13348,31537;848;145176,6337;5098,305841
2023-07-21;;0;0;0;1;36,23120568;-5,385081581
2023-07-22;;400;232;9975,974046;1273;72712,32881;6048,3579
2023-07-22;;0;0;0;1;76,65226572;-1,602388389
2023-07-23;;608;284;11066,09537;1308;53596,77128;2977,872249
2023-07-23;;0;0;0;1;41,41011996;2,765694072
2023-07-24;;496;215;10198,73322;1112;65015,38809;3151,705198
2023-07-24;;0;0;0;1;25,0970424;-0,418702324
2023-07-25;1;156;115;9923,646374;1073;54718,61989;2824,28435
2023-07-25;;0;0;0;1;6,3437553;-3,736471872
2023-07-26;;36;62;11249,43423;1191;62649,66702;335,5458928
2023-07-26;;0;0;0;1;8,86029228;-2,088497466
2023-07-27;;131;68;8192,770599;1232;58539,56607;1988,27028
2023-07-28;;132;76;9048,533552;960;69047,51008;-398,0741195
2023-07-28;;0;0;0;1;1,27023912;-0,844709015
2023-07-29;;168;127;14646,49295;1380;88398,91109;7886,945683
2023-07-29;;0;0;0;1;53,36371404;7,097373967
2023-07-30;;231;107;12258,23049;1427;105226,8145;-6970,262886
2023-07-30;;0;0;0;1;7,60969044;-2,132615746
2023-07-31;;0;34;0;873;72664,07177;0
2023-08-01;;39;52;11691,32145;1014;67030,71569;4577,613519
2023-08-02;;38;39;11916,07804;1365;75335,52915;2886,308862
2023-08-03;;25;37;13555,76567;1257;75073,17711;2877,882468
2023-08-04;;20;25;7797,649295;1156;68799,67513;3182,411413
2023-08-05;;14;37;13458,07811;1196;79888,82697;7363,933441
2023-08-05;;0;0;0;1;2,46993372;0,199447148
2023-08-06;;38;35;14517,30917;1344;73688,0696;8857,600315
2023-08-06;;0;0;0;1;1,2328227;0,585590783
2023-08-07;;24;16;6784,928082;1020;49755,08863;4268,471997
2023-08-08;;19;14;11861,29726;870;55808,4975;763,9207982
2023-08-09;;22;21;11883,3471;1138;90024,25365;6467,544441
2023-08-10;;49;27;15531,31265;1090;86045,58704;-2216,910696
2023-08-11;;38;16;16573,05149;1089;82000,48338;2115,951623
2023-08-11;;0;0;0;1;14,23669617;0,917338423
2023-08-12;;40;14;23800,78995;901;108765,8728;1654,139453
2023-08-12;;0;0;0;1;34,41818856;0,77072158
2023-08-13;;75;30;9936,730285;1149;55966,74951;3057,165956
2023-08-13;;0;0;0;1;7,34629428;-3,2103306
2023-08-14;;41;18;10323,36983;724;70042,89405;7758,670061
2023-08-14;1;0;0;;;;
2023-08-14;;0;0;0;1;3,67314714;-2,184808325
2023-08-15;;28;22;10462,80921;905;55733,61964;4458,044649
2023-08-15;;0;0;0;1;3,63665754;1,497090687
2023-08-16;;46;29;17157,42678;922;95882,32926;1462,417218
2023-08-16;;0;0;0;1;18,0761004;3,514596454
2023-08-17;;56;19;16230,88335;1074;113438,3634;1878,703362
2023-08-17;;0;0;0;1;1,20680154;1,146461463
2023-08-18;;7;13;12297,988;766;62926,79913;4127,179455
2023-08-19;1;4;12;14456,48556;1046;72328,95463;3576,681274
2023-08-19;;0;0;0;1;12,091752;-0,587094865
2023-08-20;;6;13;11139,64014;1055;49704,54193;4150,11828
2023-08-20;1;0;0;;;;
2023-08-20;;0;0;0;1;14,88741916;1,655118884
2023-08-21;;1;6;8680,79577;694;44880,34638;-2139,278135
2023-08-22;1;2;4;12578,14077;790;101036,2797;2814,002448
2023-08-23;;7;6;11415,4262;817;82924,45689;-1696,339343
2023-08-24;;1;4;16233,78227;961;120468,1156;3469,057565
2023-08-25;;1;5;16583,35713;809;83966,75973;4450,16238
2023-08-25;;0;0;0;1;6,1627839;2,172073186
2023-08-26;;0;8;14820,71574;929;92020,1503;9724,183698
2023-08-26;;0;0;0;1;8,58356814;0,372772102
2023-08-27;;2;9;13420,73598;1001;147387,7154;-4382,79032
2023-08-28;;1;4;7277,919913;652;61574,84721;741,8766084
2023-08-29;;1;5;9727,008187;652;72534,83947;4967,027302
2023-08-30;;5;5;8744,326512;813;41267,7005;-1339,743232
2023-08-31;;1;8;9504,976999;868;47020,32903;8359,665676
2023-09-01;;2;5;8386,165349;768;48771,1769;478,618963
2023-09-02;;1;1;13803,21186;836;61897,26121;4656,057595
2023-09-02;;0;0;0;1;1,2159681;-1,09741121
2023-09-03;;5;6;12298,01439;972;61015,13984;4860,335235
2023-09-03;;0;0;0;1;12,1547544;-2,54034367
2023-09-04;;2;2;5622,062126;555;49270,9684;1699,319546
2023-09-05;1;1;5;7637,594467;578;51182,67679;3007,701281
2023-09-05;1;0;0;;;;
2023-09-06;;1;5;7761,377169;581;47272,86022;703,9077099
2023-09-07;;1;2;10840,74507;674;67026,06388;3084,492249
2023-09-07;;0;0;0;1;2,0116596;-1,490639764
2023-09-08;;0;1;11214,39604;682;70127,11067;3270,25565
2023-09-09;;0;4;10238,64752;774;83542,31567;6453,21358
